,temp,humidity
0,23.81,45.88
1,23.31,43.75
2,25.57,48.06
3,26.09,40.2
4,25.64,44.0
5,25.98,46.75
6,28.3,42.66
7,25.03,48.76
8,27.21,41.36
9,27.61,46.12
10,26.7,43.58
11,27.9,42.52
12,29.72,42.3
13,27.41,44.69
14,27.11,46.51
15,29.58,45.26
16,29.3,46.18
17,28.41,45.83
18,30.45,45.05
19,29.1,46.06
20,29.56,45.61
21,29.53,47.89
22,31.35,47.75
23,29.18,48.51
24,30.99,46.8
25,31.79,46.8
26,31.53,49.0
27,32.37,48.88
28,32.09,47.92
29,32.63,49.09
30,32.34,48.95
31,32.78,49.28
32,33.4,49.18
33,32.79,49.28
34,32.9,51.88
35,33.47,50.56
36,35.16,50.17
37,34.67,49.05
38,34.28,47.17
39,34.77,49.91
40,34.68,51.59
41,35.96,51.9
42,34.37,50.73
43,33.32,52.32
44,35.73,55.09
45,34.91,50.09
46,35.19,51.67
47,38.03,52.7
48,36.29,51.45
49,34.62,53.46
50,36.34,56.0
51,37.0,51.05
52,37.54,54.33
53,38.39,53.59
54,37.68,54.14
55,37.63,53.87
56,37.63,56.23
57,38.41,53.27
58,37.56,56.65
59,38.48,61.14
60,39.46,52.84
61,40.31,57.25
62,40.61,56.93
63,38.74,55.67
64,38.86,54.93
65,40.29,56.03
66,40.08,55.62
67,41.3,58.04
68,41.68,58.6
69,40.76,58.76
70,40.81,54.59
71,43.4,58.07
72,41.96,57.7
73,40.69,58.0
74,40.01,58.65
75,42.42,60.65
76,43.32,58.44
77,42.81,57.42
78,42.47,56.81
79,43.15,56.7
80,44.19,60.19
81,43.66,58.22
82,43.08,56.35
83,42.89,60.95
84,44.03,57.86
85,43.32,57.28
86,45.0,61.56
87,42.67,59.3
88,44.88,63.58
89,44.93,60.52
90,45.11,57.62
91,45.54,60.73
92,46.21,57.88
93,46.19,60.0
94,45.78,60.4
95,45.41,63.67
96,45.89,57.74
97,45.67,60.35
98,44.37,63.19
99,43.61,64.66
100,46.17,58.04
101,46.41,61.42
102,46.01,60.28
103,46.08,64.56
104,45.48,63.09
105,46.44,58.45
106,46.96,60.8
107,48.86,60.18
108,45.02,65.88
109,47.16,65.7
110,46.35,62.44
111,46.67,61.32
112,46.83,66.25
113,48.06,61.09
114,48.98,62.53
115,49.52,61.7
116,47.85,61.12
117,47.52,64.17
118,47.31,62.7
119,47.66,62.93
120,46.64,65.79
121,49.33,64.4
122,48.21,65.12
123,48.46,63.91
124,46.6,62.55
125,47.41,63.03
126,49.36,60.24
127,49.36,62.33
128,48.74,61.77
129,49.07,64.34
130,48.3,70.08
131,50.08,65.72
132,48.12,66.73
133,48.69,63.34
134,50.74,65.2
135,47.37,64.09
136,51.19,67.03
137,50.85,62.53
138,49.44,63.78
139,48.96,63.79
140,49.72,64.83
141,50.28,68.11
142,49.33,67.78
143,49.2,68.77
144,49.36,67.6
145,50.5,62.62
146,50.29,61.36
147,50.18,65.81
148,51.1,67.27
149,51.01,67.54
150,50.69,60.95
